CustomerID,Cluster,is_noise
12346,-1,True
12748,-1,True
12823,-1,True
12830,-1,True
12837,-1,True
12847,-1,True
12855,-1,True
12864,-1,True
12867,-1,True
12875,-1,True
12881,-1,True
12884,-1,True
12891,-1,True
12901,-1,True
12908,-1,True
12917,-1,True
12931,-1,True
12977,-1,True
12980,-1,True
12995,-1,True
13011,-1,True
13017,-1,True
13026,-1,True
13027,-1,True
13068,-1,True
13080,-1,True
13081,-1,True
13089,-1,True
13094,-1,True
13095,-1,True
13098,-1,True
13099,-1,True
13106,-1,True
13120,-1,True
13130,-1,True
13132,-1,True
13135,-1,True
13145,-1,True
13147,-1,True
13165,-1,True
13182,-1,True
13185,-1,True
13189,-1,True
13216,-1,True
13228,-1,True
13233,-1,True
13253,-1,True
13268,-1,True
13270,-1,True
13271,-1,True
13273,-1,True
13302,-1,True
13307,-1,True
13316,-1,True
13366,-1,True
13391,-1,True
13452,-1,True
13521,-1,True
13525,-1,True
13538,-1,True
13563,-1,True
13564,-1,True
13631,-1,True
13666,-1,True
13678,-1,True
13684,-1,True
13685,-1,True
13686,-1,True
13689,-1,True
13694,-1,True
13703,-1,True
13739,-1,True
13747,-1,True
13762,-1,True
13777,-1,True
13790,-1,True
13791,-1,True
13798,-1,True
13805,-1,True
13832,-1,True
13841,-1,True
13848,-1,True
13854,-1,True
14014,-1,True
14045,-1,True
14046,-1,True
14049,-1,True
14053,-1,True
14088,-1,True
14090,-1,True
14093,-1,True
14096,-1,True
14101,-1,True
14104,-1,True
14124,-1,True
14145,-1,True
14159,-1,True
14180,-1,True
14185,-1,True
14199,-1,True
14212,-1,True
14258,-1,True
14286,-1,True
14298,-1,True
14300,-1,True
14301,-1,True
14314,-1,True
14351,-1,True
14382,-1,True
14393,-1,True
14423,-1,True
14424,-1,True
14456,-1,True
14460,-1,True
14477,-1,True
14527,-1,True
14529,-1,True
14533,-1,True
14548,-1,True
14576,-1,True
14581,-1,True
14589,-1,True
14603,-1,True
14606,-1,True
14607,-1,True
14609,-1,True
14642,-1,True
14680,-1,True
14682,-1,True
14705,-1,True
14711,-1,True
14716,-1,True
14769,-1,True
14776,-1,True
14779,-1,True
14792,-1,True
14796,-1,True
14805,-1,True
14816,-1,True
14821,-1,True
14842,-1,True
14865,-1,True
14866,-1,True
